analysis_window,metric_column,metric_label,risk,cause,location_name,selected_breakpoint_count,selected_breakpoint_years,segment_index,year_start,year_end,n_years,slope_log_linear,slope_se,p_value,apc_percent,apc_lower,apc_upper,segment_sse,model_bic
1990-2021,deaths_asr,Deaths ASR,ozone,copd,Republic of Korea,1,2001,1,1990,2000,11,0.01968956930606134,0.009202164984590077,0.03238168284449825,1.9884687368709297,0.16546934331260754,3.844646498290971,0.08383304199957953,-142.36536905891677
1990-2021,deaths_asr,Deaths ASR,ozone,copd,Republic of Korea,1,2001,2,2001,2021,21,0.018335307139631652,0.0030247626103685607,1.346615744323156e-09,1.850443094796228,1.2484055705603847,2.4560604203982983,0.13385263286209348,-142.36536905891677
1990-2021,deaths_asr,Deaths ASR,pm25,copd,China,1,2009,1,1990,2008,19,0.030216997586945932,0.0022795635582369697,4.187178698382341e-40,3.0678164363594496,2.608342361847882,3.5293480085391904,0.050353213055446926,-166.97122074210856
1990-2021,deaths_asr,Deaths ASR,pm25,copd,China,1,2009,2,2009,2021,13,-0.06523295683850382,0.005024699956570404,1.5386198890937806e-38,-6.315080747149915,-7.2331999931234625,-5.387874813376802,0.05054571452642436,-166.97122074210856
1990-2021,deaths_asr,Deaths ASR,pm25,copd,East Asia,1,2009,1,1990,2008,19,0.029707945989316902,0.002266620492967133,3.0137680720288216e-39,3.01536295163618,2.5587244321710445,3.474034635404144,0.04978303836905272,-167.1821771597095
1990-2021,deaths_asr,Deaths ASR,pm25,copd,East Asia,1,2009,2,2009,2021,13,-0.06482578122928988,0.005020085134802449,3.7879847296936346e-38,-6.276926765920843,-7.194580497851366,-5.35019933574895,0.05045291203085038,-167.1821771597095
1990-2021,deaths_asr,Deaths ASR,pm25,copd,Global,1,2008,1,1990,2007,18,0.015427024390205194,0.001071634276497962,5.499112009317225e-47,1.5546635219148675,1.3415816407812198,1.7681934312648862,0.008902396974926285,-205.39768126435357
1990-2021,deaths_asr,Deaths ASR,pm25,copd,Global,1,2008,2,2008,2021,14,-0.022194219636917,0.00280388643265937,2.4622145570835755e-15,-2.194973996302285,-2.730998757219849,-1.6559953390699156,0.02146265701739601,-205.39768126435357
1990-2021,deaths_asr,Deaths ASR,pm25,copd,High SDI,1,2007,1,1990,2006,17,0.010678659077088749,0.0011088766201830403,5.963664960287359e-22,1.073587945451826,0.8541533395779011,1.2934999887406873,0.007525197035786003,-187.4759756643241
1990-2021,deaths_asr,Deaths ASR,pm25,copd,High SDI,1,2007,2,2007,2021,15,-0.04641830809289556,0.0035408488079885403,2.90993811938756e-39,-4.535745604536001,-5.195979923555694,-3.8709132805407886,0.04563690142296327,-187.4759756643241
1990-2021,deaths_asr,Deaths ASR,pm25,copd,Japan,1,2010,1,1990,2009,20,-0.038135478200676975,0.0014247726005653881,8.040361050917626e-158,-3.7417476891218104,-4.010179106147427,-3.4725656151517903,0.024298824250962654,-187.71394926287243
1990-2021,deaths_asr,Deaths ASR,pm25,copd,Japan,1,2010,2,2010,2021,12,-0.03260047302068759,0.00446191273907109,2.7441568000097564e-13,-3.207480542247554,-4.050274268354171,-2.357283967833146,0.02846939136625138,-187.71394926287243
1990-2021,deaths_asr,Deaths ASR,pm25,copd,Republic of Korea,1,1999,1,1990,1998,9,-0.007141807147360268,0.003013057320682402,0.017774337108589194,-0.711636504625135,-1.2962651161291583,-0.12354510000804897,0.0038129760554414817,-193.91990658824065
1990-2021,deaths_asr,Deaths ASR,pm25,copd,Republic of Korea,1,1999,2,1999,2021,23,-0.04314266362254885,0.001365956241548132,6.081082029896378e-219,-4.222525929427889,-4.478605542265335,-3.9657598026583196,0.03965275631667399,-193.91990658824065
1990-2021,deaths_asr,Deaths ASR,pm25,lri,China,1,2014,1,1990,2013,24,-0.02546814482634517,0.0012483201253963043,1.6073125274319582e-92,-2.514656740348753,-2.752883301363107,-2.275846594994846,0.03942506932737695,-187.57830715287957
