analysis_window,period_label,risk,cause,measure,location_name,sex_name,start_year,end_year,breakpoint_year,paf_variant,time_path_variant,total_start,total_end,delta_total,observed_total_start,observed_total_end,observed_identity_gap_start,observed_identity_gap_end,population_total_start,population_total_end,population_growth_contribution,aging_contribution,underlying_rate_change_contribution,paf_change_contribution,population_growth_percent_of_delta,aging_percent_of_delta,underlying_rate_change_percent_of_delta,paf_change_percent_of_delta,residual
main,main_post_break,ozone,copd,deaths,Japan,Both,2010,2021,2010,raw,endpoint_direct,2626.189399408455,2843.664791567348,217.4753921588931,2626.189399408455,2843.6647915673484,0.0,4.547473508864641e-13,127965040.22379117,125509256.85290577,-54.019015433195285,1163.65140508138,-612.9972522651163,-279.1597452241751,-24.83913922257816,535.0726781222155,-281.8697077309992,-128.36383116863806,-2.5579538487363607e-13
main,main_overall_1990_2021,ozone,copd,deaths,Republic of Korea,Both,1990,2021,,raw,endpoint_direct,498.0340635407082,1576.5435689429905,1078.5095054022822,498.0340635407082,1576.5435689429905,0.0,0.0,44563740.97152462,52083507.14753976,198.92215929589088,1707.970766211735,-1654.7161599935923,826.3327398882487,18.444173027635323,158.3639975036349,-153.4262008545197,76.6180303232495,0.0
main,main_pre_break,ozone,copd,deaths,Republic of Korea,Both,1990,2001,2001,raw,endpoint_direct,498.0340635407082,508.93389581110813,10.89983227039994,498.0340635407082,508.9338958111082,0.0,5.684341886080802e-14,44563740.97152462,47440017.74415988,32.4143936903545,246.82314505532375,-91.3912670436793,-176.94643943159898,297.38433478816404,2264.467369150326,-838.4648935549716,-1623.3868103835177,-2.842170943040401e-14
main,main_post_break,ozone,copd,deaths,Republic of Korea,Both,2001,2021,2001,raw,endpoint_direct,508.93389581110813,1576.5435689429905,1067.6096731318823,508.9338958111082,1576.5435689429905,5.684341886080802e-14,0.0,47440017.74415988,52083507.14753976,113.97612548192033,1211.5965104207455,-1403.1134294675212,1145.1504666967378,10.675823603917536,113.48684270220886,-131.4256946877807,107.26302838165431,0.0
main,main_overall_1990_2021,pm25,copd,dalys,China,Both,1990,2021,,raw,endpoint_direct,2202778.5975290095,4203211.352792031,2000432.7552630217,2202778.5975290095,4203211.352792031,0.0,0.0,1179137926.6356301,1428242111.8436134,711704.9732387001,3324062.716145504,-4219271.155993738,2183936.221872556,35.57755047582808,166.16718094622723,-210.91791987974014,109.17318845768484,0.0
main,main_pre_break,pm25,copd,dalys,China,Both,1990,2009,2009,raw,endpoint_direct,2202778.5975290095,5418317.535538409,3215538.9380093995,2202778.5975290095,5418317.535538408,0.0,-9.313225746154785e-10,1179137926.6356301,1330611557.2084239,460405.51550695766,1942417.2164869716,-1706277.9293560851,2518994.1353715565,14.318144621566137,60.40720557062941,-53.063513216617054,78.33816302442155,-1.3969838619232178e-09
main,main_post_break,pm25,copd,dalys,China,Both,2009,2021,2009,raw,endpoint_direct,5418317.535538409,4203211.352792031,-1215106.1827463778,5418317.535538408,4203211.352792031,-9.313225746154785e-10,0.0,1330611557.2084239,1428242111.8436134,357238.5176311752,2151392.718025852,-3322948.160012802,-400789.2583906022,-29.39977778927486,-177.05388620139215,273.4697763204767,32.98388767019028,-6.984919309616089e-10
main,main_overall_1990_2021,pm25,copd,dalys,East Asia,Both,1990,2021,,raw,endpoint_direct,2235378.87444934,4247399.01268185,2012020.13823251,2235378.87444934,4247399.01268185,0.0,0.0,1220394792.6352584,1478025007.6619742,715900.3419001674,3337218.796872499,-4171440.9092668034,2130341.9087266475,35.58117179329333,165.86408522750324,-207.32600186254945,105.88074484175287,-4.656612873077393e-10
main,main_pre_break,pm25,copd,dalys,East Asia,Both,1990,2009,2009,raw,endpoint_direct,2235378.87444934,5468405.789602868,3233026.915153528,2235378.87444934,5468405.789602868,0.0,0.0,1220394792.6352584,1378935682.0429873,469740.3186378312,1959159.7032104135,-1695597.2968434694,2499724.1901487526,14.529428024125323,60.59831095211832,-52.44612375158497,77.31838477534131,0.0
main,main_post_break,pm25,copd,dalys,East Asia,Both,2009,2021,2009,raw,endpoint_direct,5468405.789602868,4247399.01268185,-1221006.776921018,5468405.789602868,4247399.01268185,0.0,0.0,1378935682.0429873,1478025007.6619742,353015.2139207235,2154188.321815341,-3287246.755266297,-440963.5573907856,-28.911814462726653,-176.4272207601913,269.2242842055033,36.11475101741469,4.656612873077393e-10
