risk,cause,location_name,year,deaths_count_all_age,deaths_count_lower,deaths_count_upper,deaths_asr,deaths_asr_lower,deaths_asr_upper,dalys_asdr,dalys_asdr_lower,dalys_asdr_upper,deaths_count_from_age_sex_sum,deaths_count_difference_vs_baseline,dalys_count_from_age_sex_sum,dalys_count_ui_note,population_total_from_age_sex
ozone,copd,China,2000,109401.23587068693,24405.170125325527,199928.9685732401,13.422846377742896,3.059556228132014,24.6056112538622,214.30460357653908,47.926021061385484,389.9767862703176,109401.23587068687,-5.820766091346741e-11,2015056.2477189212,point_estimate_sum_from_age_sex_only,1258333212.7453017
ozone,copd,China,2001,116603.60805410084,25060.860343340428,213862.18986628932,13.901921138609254,3.048208408127171,25.398548487066822,220.38264779599197,47.575142935433966,402.127187498272,116603.60805410084,0.0,2127239.7629747116,point_estimate_sum_from_age_sex_only,1263711681.3079967
ozone,copd,China,2002,120713.71639525784,27326.652956153157,220291.00298898443,13.917773913554903,3.1960043196339094,25.22122098000108,220.00069971928946,49.6288804374048,401.69620547815816,120713.71639525788,4.3655745685100555e-11,2188702.8063139585,point_estimate_sum_from_age_sex_only,1269927203.0337374
ozone,copd,China,2003,131246.68858104126,30153.149417428864,237725.72369505026,14.671278393071958,3.413538357387203,26.440377785301216,230.30509793401458,52.76350320284255,418.09897100271763,131246.68858104115,-1.1641532182693481e-10,2357395.150166577,point_estimate_sum_from_age_sex_only,1276870213.8140824
ozone,copd,China,2004,144041.57845827698,34318.60500194055,255759.92030429372,15.49214915193332,3.751880349422789,27.36086751127274,242.3884308225899,57.34087900341929,430.58213326014277,144041.57845827707,8.731149137020111e-11,2568076.5035137837,point_estimate_sum_from_age_sex_only,1284501297.4646666
ozone,copd,China,2005,146284.0142883938,35947.238635732356,263657.5922192613,15.106302918201672,3.736265733981128,27.595472322524316,235.47974237179895,57.291849072008,424.9829165160491,146284.01428839372,-8.731149137020111e-11,2584772.990411943,point_estimate_sum_from_age_sex_only,1292848035.2128522
ozone,copd,China,2006,153126.6155833854,37170.61338401943,275120.7379190822,15.133281995356331,3.671355383834262,27.553867176531575,235.36249793281524,57.15266971341745,422.6307826195094,153126.6155833854,0.0,2685074.226644345,point_estimate_sum_from_age_sex_only,1301881786.4753292
ozone,copd,China,2007,155569.3112471313,37544.96201346403,272590.7866809455,14.765348602248716,3.6032845316942472,26.231269399036258,228.0896883319971,54.562257615671356,397.90258814367013,155569.31124713118,-1.1641532182693481e-10,2696452.584476448,point_estimate_sum_from_age_sex_only,1311423761.7638993
ozone,copd,China,2008,161935.9271704742,38180.37166059695,276833.29719344294,14.787831028523511,3.4924696927106424,25.625814418464895,226.3519787922047,53.04683340930877,388.18722858147146,161935.92717047432,1.1641532182693481e-10,2764981.5159254116,point_estimate_sum_from_age_sex_only,1321138115.547406
ozone,copd,China,2009,150326.04983812352,36774.65296950659,261447.4284863594,13.16761031895181,3.2786572756385026,22.981909806093224,199.92325123772756,48.54053554212737,346.7626702578896,150326.04983812355,2.9103830456733704e-11,2531842.486248987,point_estimate_sum_from_age_sex_only,1330611557.2084239
ozone,copd,China,2010,144131.1691886134,34955.70809570819,250871.11793992802,12.095943018368684,2.999143970971316,20.994770139214026,182.31506363712472,43.94072362621506,317.2937930005448,144131.16918861342,2.9103830456733704e-11,2394469.11835336,point_estimate_sum_from_age_sex_only,1339152823.2389724
ozone,copd,China,2011,130664.0048712306,30627.831179434575,230394.93893172397,10.483926205710874,2.49885501782493,18.440135112673577,157.477487548769,36.82066351869702,276.6073885218727,130664.0048712305,-1.0186340659856796e-10,2153558.1098675313,point_estimate_sum_from_age_sex_only,1346712413.6008554
