analysis_window,period_label,risk,cause,measure,location_name,sex_name,start_year,end_year,breakpoint_year,paf_variant,time_path_variant,total_start,total_end,delta_total,observed_total_start,observed_total_end,observed_identity_gap_start,observed_identity_gap_end,population_total_start,population_total_end,population_growth_contribution,aging_contribution,underlying_rate_change_contribution,paf_change_contribution,population_growth_percent_of_delta,aging_percent_of_delta,underlying_rate_change_percent_of_delta,paf_change_percent_of_delta,residual
main,main_post_break,ozone,copd,dalys,Global,Both,2009,2021,2009,capped,endpoint_direct,6483696.218376477,6957670.382605992,473974.164229515,6483696.218376478,6957670.382605992,9.313225746154785e-10,0.0,6870903465.192087,7922763197.366717,968813.5006059301,1446982.8324259638,-2096978.3854816267,155156.2166792485,204.40217499635622,305.28727969343146,-442.4246179937765,32.73516330398895,-6.984919309616089e-10
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,Global,Both,1990,2019,,capped,endpoint_direct,3498853.2955586845,7341500.502469097,3842647.2069104128,3498853.2955586845,7341500.502469097,0.0,0.0,5336096932.229505,7769115347.662649,1985756.9442883611,2194194.894253697,-1958975.7842675215,1621671.1526358759,51.67679564018475,57.10112784509005,-50.97985005609162,42.20192657081682,4.656612873077393e-10
sensitivity,sensitivity_pre_break,ozone,copd,dalys,Global,Both,1990,2009,2009,capped,endpoint_direct,3498853.2955586845,6483696.218376477,2984842.9228177927,3498853.2955586845,6483696.218376478,0.0,9.313225746154785e-10,5336096932.229505,6870903465.192087,1227786.8516607494,1175833.6122449944,-748575.0227887625,1329797.4817008108,41.134052390994064,39.39348376613962,-25.079209933167345,44.551673776033645,4.656612873077393e-10
sensitivity,sensitivity_post_break,ozone,copd,dalys,Global,Both,2009,2019,2009,capped,endpoint_direct,6483696.218376477,7341500.502469097,857804.28409262,6483696.218376478,7341500.502469097,9.313225746154785e-10,0.0,6870903465.192087,7769115347.662649,853516.3128931558,1241815.4680350665,-1443412.6564670757,205885.15963147292,99.50012243130728,144.76675986162172,-168.26829653735157,24.001414244422545,4.656612873077393e-10
main,main_overall_1990_2021,ozone,copd,dalys,High SDI,Both,1990,2021,,capped,endpoint_direct,1216319.9865537179,1364201.2979484533,147881.31139473547,1216319.9865537179,1364201.2979484533,0.0,0.0,2057966635.6512623,2530226036.8233757,278777.8290000461,751712.5446266459,-747671.3008095422,-134937.76142241442,188.5145772449314,508.3215299735343,-505.58876828851214,-91.24733892995364,8.731149137020111e-11
main,main_pre_break,ozone,copd,dalys,High SDI,Both,1990,2009,2009,capped,endpoint_direct,1216319.9865537179,1790167.6813653214,573847.6948116035,1216319.9865537179,1790167.6813653216,0.0,2.3283064365386963e-10,2057966635.6512623,2360497587.0539675,205244.103217228,460496.43834727485,-347956.1759818182,256063.329228919,35.766302639694395,80.24715312282602,-60.635631915547485,44.62217615302709,-1.1641532182693481e-10
main,main_post_break,ozone,copd,dalys,High SDI,Both,2009,2021,2009,capped,endpoint_direct,1790167.6813653214,1364201.2979484533,-425966.38341686805,1790167.6813653216,1364201.2979484533,2.3283064365386963e-10,0.0,2360497587.0539675,2530226036.8233757,111074.54444136312,404193.2803540484,-518529.8898169119,-422704.31839536777,-26.07589442865989,-94.88853958658245,121.73023740924114,99.2341966060012,5.820766091346741e-11
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,High SDI,Both,1990,2019,,capped,endpoint_direct,1216319.9865537179,1453518.0126140749,237198.026060357,1216319.9865537179,1453518.012614075,0.0,2.3283064365386963e-10,2057966635.6512623,2514046105.809277,275778.1669999094,710858.916263016,-654186.055127473,-95253.00207509524,116.26495025288928,299.69006406576597,-275.79742799419836,-40.15758632445674,-2.3283064365386963e-10
sensitivity,sensitivity_pre_break,ozone,copd,dalys,High SDI,Both,1990,2009,2009,capped,endpoint_direct,1216319.9865537179,1790167.6813653214,573847.6948116035,1216319.9865537179,1790167.6813653216,0.0,2.3283064365386963e-10,2057966635.6512623,2360497587.0539675,205244.103217228,460496.43834727485,-347956.1759818182,256063.329228919,35.766302639694395,80.24715312282602,-60.635631915547485,44.62217615302709,-1.1641532182693481e-10
sensitivity,sensitivity_post_break,ozone,copd,dalys,High SDI,Both,2009,2019,2009,capped,endpoint_direct,1790167.6813653214,1453518.0126140749,-336649.6687512465,1790167.6813653216,1453518.012614075,2.3283064365386963e-10,2.3283064365386963e-10,2360497587.0539675,2514046105.809277,103205.66302298378,347782.5965882302,-401153.94334786455,-386483.98501459585,-30.65669525409317,-103.30697721411096,119.16065292322648,114.80301954497759,-1.1641532182693481e-10
main,main_overall_1990_2021,ozone,copd,dalys,Japan,Both,1990,2021,,capped,endpoint_direct,16022.645514322643,34875.68989480578,18853.044380483138,16022.645514322645,34875.68989480577,1.8189894035458565e-12,-7.275957614183426e-12,123687380.71854454,125509256.85290577,399.51590858813296,27617.555179922856,-17028.905897583147,7864.879189555294,2.1191055435148494,146.488570347359,-90.32443542758347,41.71675953670961,0.0
main,main_pre_break,ozone,copd,dalys,Japan,Both,1990,2010,2010,capped,endpoint_direct,16022.645514322643,34203.0430853682,18180.397571045556,16022.645514322645,34203.0430853682,1.8189894035458565e-12,0.0,123687380.71854454,127965040.22379117,867.8859778542798,18679.68024083616,-10508.947215126585,9141.778567481695,4.7737458681128695,102.74626925973153,-57.80372609597566,50.28371096813121,7.275957614183426e-12
main,main_post_break,ozone,copd,dalys,Japan,Both,2010,2021,2010,capped,endpoint_direct,34203.0430853682,34875.68989480578,672.6468094375814,34203.0430853682,34875.68989480577,0.0,-7.275957614183426e-12,127965040.22379117,125509256.85290577,-679.4254151881947,12123.67986700568,-7693.585842136651,-3078.021800243248,-101.00775111923612,1802.3842077155803,-1143.7779432224575,-457.5985133738859,-4.433786671143025e-12
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,Japan,Both,1990,2019,,capped,endpoint_direct,16022.645514322643,36598.68485865994,20576.039344337296,16022.645514322645,36598.68485865994,1.8189894035458565e-12,0.0,123687380.71854454,126394432.30613585,600.7483043756833,26937.83517270401,-15498.380545897535,8535.836413155135,2.9196498622608558,130.91846648377222,-75.32246749014321,41.48435114411011,3.637978807091713e-12
sensitivity,sensitivity_pre_break,ozone,copd,dalys,Japan,Both,1990,2010,2010,capped,endpoint_direct,16022.645514322643,34203.0430853682,18180.397571045556,16022.645514322645,34203.0430853682,1.8189894035458565e-12,0.0,123687380.71854454,127965040.22379117,867.8859778542798,18679.68024083616,-10508.947215126585,9141.778567481695,4.7737458681128695,102.74626925973153,-57.80372609597566,50.28371096813121,7.275957614183426e-12
sensitivity,sensitivity_post_break,ozone,copd,dalys,Japan,Both,2010,2019,2010,capped,endpoint_direct,34203.0430853682,36598.68485865994,2395.64177329174,34203.0430853682,36598.68485865994,0.0,0.0,127965040.22379117,126394432.30613585,-441.54382150772653,10710.576436524681,-5488.654591856728,-2384.7362498684856,-18.431128828623727,447.08589389004425,-229.10998852366075,-99.54477653775967,-1.3642420526593924e-12
main,main_overall_1990_2021,ozone,copd,dalys,Republic of Korea,Both,1990,2021,,capped,endpoint_direct,8924.913999531896,20916.06025556829,11991.146256036393,8924.913999531898,20916.060255568293,1.8189894035458565e-12,3.637978807091713e-12,44563740.97152462,52083507.14753976,2624.524209498065,21418.133065784816,-14029.195561478082,1977.6845422315957,21.88718370586856,178.61622741030982,-116.99628427445563,16.49287315827727,-1.8189894035458565e-12
main,main_pre_break,ozone,copd,dalys,Republic of Korea,Both,1990,2001,2001,capped,endpoint_direct,8924.913999531896,8158.5979603441,-766.3160391877964,8924.913999531898,8158.5979603441,1.8189894035458565e-12,0.0,44563740.97152462,47440017.74415988,553.390152151877,3867.019010614624,-757.843244609986,-4428.8819573443125,-72.21435071858923,-504.6245690894325,98.89434722170365,577.9445725863181,7.958078640513122e-13
main,main_post_break,ozone,copd,dalys,Republic of Korea,Both,2001,2021,2001,capped,endpoint_direct,8158.5979603441,20916.06025556829,12757.462295224188,8158.5979603441,20916.060255568293,0.0,3.637978807091713e-12,47440017.74415988,52083507.14753976,1454.3251779436061,14366.257041107876,-12130.325576966125,9067.205653138832,11.399799931119837,112.61061728934874,-95.0841577756978,71.07374055522924,-1.8189894035458565e-12
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,Republic of Korea,Both,1990,2019,,capped,endpoint_direct,8924.913999531896,20058.910249281686,11133.996249749789,8924.913999531898,20058.910249281686,1.8189894035458565e-12,0.0,44563740.97152462,52390584.32615163,2583.0496218829753,19146.04557349219,-11502.541897420158,907.442951794785,23.199663121325585,171.96023012781643,-103.3100931543663,8.150199905224305,-1.8189894035458565e-12
sensitivity,sensitivity_pre_break,ozone,copd,dalys,Republic of Korea,Both,1990,2001,2001,capped,endpoint_direct,8924.913999531896,8158.5979603441,-766.3160391877964,8924.913999531898,8158.5979603441,1.8189894035458565e-12,0.0,44563740.97152462,47440017.74415988,553.390152151877,3867.019010614624,-757.843244609986,-4428.8819573443125,-72.21435071858923,-504.6245690894325,98.89434722170365,577.9445725863181,7.958078640513122e-13
sensitivity,sensitivity_post_break,ozone,copd,dalys,Republic of Korea,Both,2001,2019,2001,capped,endpoint_direct,8158.5979603441,20058.910249281686,11900.312288937585,8158.5979603441,20058.910249281686,0.0,0.0,47440017.74415988,52390584.32615163,1465.1601299843467,12404.470743496242,-9769.457055842593,7800.13847129959,12.311946900303997,104.23651449069382,-82.09412340316638,65.54566201216856,0.0
main,main_overall_1990_2021,ozone,copd,deaths,China,Both,1990,2021,,capped,endpoint_direct,66508.19692268662,84730.04258090055,18221.845658213933,66508.19692268662,84730.04258090055,0.0,0.0,1179137926.6356301,1428242111.8436134,17197.588261153564,96129.30638157016,-94816.76722904772,-288.2817554620854,94.37895910067343,527.5497783521045,-520.3466707353367,-1.5820667174410816,1.4551915228366852e-11
