analysis_window,period_label,risk,cause,measure,location_name,sex_name,start_year,end_year,breakpoint_year,paf_variant,time_path_variant,total_start,total_end,delta_total,observed_total_start,observed_total_end,observed_identity_gap_start,observed_identity_gap_end,population_total_start,population_total_end,population_growth_contribution,aging_contribution,underlying_rate_change_contribution,paf_change_contribution,population_growth_percent_of_delta,aging_percent_of_delta,underlying_rate_change_percent_of_delta,paf_change_percent_of_delta,residual
main,main_overall_1990_2021,pm25,lri,dalys,China,Both,1990,2021,,raw_common_age_set,endpoint_direct,2706501.8981486754,502584.68702973204,-2203917.2111189435,2706501.8981486754,502584.68702973204,0.0,0.0,1179137926.6356301,1428242111.8436134,381662.27213957795,-759288.4332255203,-3570796.3854555166,1744505.335422515,-17.317450501954447,34.45176748903487,162.02044103292786,-79.15475802000829,4.656612873077393e-10
main,main_pre_break,pm25,lri,dalys,China,Both,1990,2002,2002,raw_common_age_set,endpoint_direct,2706501.8981486754,1389940.2020275698,-1316561.6961211057,2706501.8981486754,1389940.2020275698,0.0,0.0,1179137926.6356301,1269927203.0337372,155611.32824870912,-776024.4861977729,-1410459.4750262487,714310.9368542066,-11.819524197550026,58.94326779247186,107.13204547738154,-54.255789072303365,2.3283064365386963e-10
main,main_post_break,pm25,lri,dalys,China,Both,2002,2021,2002,raw_common_age_set,endpoint_direct,1389940.2020275698,502584.68702973204,-887355.5149978377,1389940.2020275698,502584.68702973204,0.0,0.0,1269927203.0337372,1428242111.8436134,126241.26407559968,44734.485367997666,-1585063.754994996,526732.4905535607,-14.226683887337682,-5.0413261214820615,178.62781356566632,-59.35980355684657,1.1641532182693481e-10
sensitivity,sensitivity_overall_1990_2019,pm25,lri,dalys,China,Both,1990,2019,,raw_common_age_set,endpoint_direct,2706501.8981486754,621739.6177381735,-2084762.280410502,2706501.8981486754,621739.6177381735,0.0,0.0,1179137926.6356301,1418278589.326395,393329.58639677434,-580767.1930345893,-3806863.8496631957,1909539.1758905083,-18.866879456363026,27.857717807530207,182.60421753762742,-91.5950558887946,2.3283064365386963e-10
sensitivity,sensitivity_pre_break,pm25,lri,dalys,China,Both,1990,2000,2000,raw_common_age_set,endpoint_direct,2706501.8981486754,1569402.2523150216,-1137099.6458336539,2706501.8981486754,1569402.2523150218,0.0,2.3283064365386963e-10,1179137926.6356301,1258333212.7453017,140836.64119633954,-760166.8793932953,-1091781.0582659564,574011.6506292574,-12.385602415088828,66.85138652347271,96.0145456263446,-50.480329734728414,6.984919309616089e-10
sensitivity,sensitivity_post_break,pm25,lri,dalys,China,Both,2000,2019,2000,raw_common_age_set,endpoint_direct,1569402.2523150216,621739.6177381735,-947662.6345768481,1569402.2523150218,621739.6177381735,2.3283064365386963e-10,0.0,1258333212.7453017,1418278589.326395,156832.14020042657,130933.03689381179,-2017180.4721839975,781752.6605129108,-16.54936413847904,-13.816418640614256,212.8585003337936,-82.49271755470029,2.3283064365386963e-10
main,main_overall_1990_2021,pm25,lri,dalys,East Asia,Both,1990,2021,,raw_common_age_set,endpoint_direct,2746114.192622871,530133.1651509636,-2215981.0274719074,2746114.1926228707,530133.1651509636,-4.656612873077393e-10,0.0,1220394792.6352584,1478025007.6619742,375671.8538041159,-708839.8063815711,-3420216.738542702,1537403.6636482503,-16.952846127599727,31.987629749260442,154.34323201063873,-69.37801563229947,-4.656612873077393e-10
main,main_pre_break,pm25,lri,dalys,East Asia,Both,1990,2003,2003,raw_common_age_set,endpoint_direct,2746114.192622871,1345600.9808460579,-1400513.2117768133,2746114.1926228707,1345600.9808460579,-4.656612873077393e-10,0.0,1220394792.6352584,1323632174.66369,171175.6144671488,-764720.6276982985,-1588251.4946233702,781283.2960777065,-12.22234913799781,54.602885661328905,113.40496335685228,-55.78549988018337,2.3283064365386963e-10
main,main_post_break,pm25,lri,dalys,East Asia,Both,2003,2021,2003,raw_common_age_set,endpoint_direct,1345600.9808460579,530133.1651509636,-815467.8156950943,1345600.9808460579,530133.1651509636,0.0,0.0,1323632174.66369,1478025007.6619742,113221.77154063976,72336.29021862743,-1382910.2755738965,381884.39811953454,-13.884272237541461,-8.87052668742897,169.58489948436795,-46.83010055939745,4.656612873077393e-10
sensitivity,sensitivity_overall_1990_2019,pm25,lri,dalys,East Asia,Both,1990,2019,,raw_common_age_set,endpoint_direct,2746114.192622871,650986.0981322944,-2095128.0944905768,2746114.1926228707,650986.0981322944,-4.656612873077393e-10,0.0,1220394792.6352584,1468089083.2620585,388951.0106456508,-551914.6829441815,-3654383.32440988,1722218.9022178352,-18.564545607901024,26.342765599655504,174.42290683894586,-82.20112683070039,-1.1641532182693481e-09
