analysis_window,period_label,risk,cause,measure,location_name,sex_name,start_year,end_year,breakpoint_year,paf_variant,time_path_variant,total_start,total_end,delta_total,observed_total_start,observed_total_end,observed_identity_gap_start,observed_identity_gap_end,population_total_start,population_total_end,population_growth_contribution,aging_contribution,underlying_rate_change_contribution,paf_change_contribution,population_growth_percent_of_delta,aging_percent_of_delta,underlying_rate_change_percent_of_delta,paf_change_percent_of_delta,residual
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,High SDI,Male,1990,2019,,raw,endpoint_direct,829216.95881353,833239.135944956,4022.1771314259386,829216.95881353,833239.135944956,0.0,0.0,1020097213.1292876,1256597453.852754,183570.9012207836,488584.4811334561,-579791.6187309049,-88341.58649190927,4563.968597666017,12147.264159901471,-14414.870349714252,-2196.362407853244,3.6379788070917124e-10
sensitivity,sensitivity_pre_break,ozone,copd,dalys,High SDI,Male,1990,2009,2009.0,raw,endpoint_direct,829216.95881353,1052894.174427767,223677.215614237,829216.95881353,1052894.1744277673,0.0,2.3283064365386963e-10,1020097213.1292876,1173980292.9430687,133822.24303967235,320552.79440310394,-359962.0853873229,129264.26355878344,59.82828544793214,143.3104366588426,-160.92925888711363,57.79053678033884,1.4551915228366852e-10
sensitivity,sensitivity_post_break,ozone,copd,dalys,High SDI,Male,2009,2019,2009.0,raw,endpoint_direct,1052894.174427767,833239.135944956,-219655.03848281107,1052894.1744277673,833239.135944956,2.3283064365386963e-10,0.0,1173980292.9430687,1256597453.852754,64865.89992022309,217378.6585257386,-280811.402185624,-221088.19474314863,-29.53080446879852,-98.96365684447952,127.84200359128054,100.65245772199744,-1.1641532182693479e-10
main,main_overall_1990_2021,ozone,copd,dalys,Japan,Both,1990,2021,,raw,endpoint_direct,16022.645514322645,34875.68989480578,18853.044380483138,16022.645514322645,34875.68989480577,1.8189894035458565e-12,-7.275957614183426e-12,123687380.71854454,125509256.85290577,399.51590858813296,27617.555179922856,-17028.905897583147,7864.879189555294,2.1191055435148494,146.488570347359,-90.32443542758348,41.71675953670961,0.0
main,main_pre_break,ozone,copd,dalys,Japan,Both,1990,2010,2010.0,raw,endpoint_direct,16022.645514322645,34203.0430853682,18180.39757104556,16022.645514322645,34203.0430853682,1.8189894035458565e-12,0.0,123687380.71854454,127965040.22379117,867.8859778542798,18679.68024083616,-10508.947215126584,9141.778567481697,4.7737458681128695,102.74626925973152,-57.80372609597566,50.28371096813121,7.275957614183426e-12
main,main_post_break,ozone,copd,dalys,Japan,Both,2010,2021,2010.0,raw,endpoint_direct,34203.0430853682,34875.68989480578,672.6468094375814,34203.0430853682,34875.68989480577,0.0,-7.275957614183426e-12,127965040.22379117,125509256.85290577,-679.4254151881947,12123.67986700568,-7693.585842136651,-3078.021800243248,-101.00775111923612,1802.3842077155805,-1143.7779432224577,-457.5985133738859,-4.433786671143025e-12
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,Japan,Both,1990,2019,,raw,endpoint_direct,16022.645514322645,36598.68485865994,20576.039344337296,16022.645514322645,36598.68485865994,1.8189894035458565e-12,0.0,123687380.71854454,126394432.30613583,600.7483043756833,26937.83517270401,-15498.380545897537,8535.836413155135,2.919649862260856,130.91846648377222,-75.32246749014321,41.48435114411011,3.637978807091713e-12
sensitivity,sensitivity_pre_break,ozone,copd,dalys,Japan,Both,1990,2010,2010.0,raw,endpoint_direct,16022.645514322645,34203.0430853682,18180.39757104556,16022.645514322645,34203.0430853682,1.8189894035458565e-12,0.0,123687380.71854454,127965040.22379117,867.8859778542798,18679.68024083616,-10508.947215126584,9141.778567481697,4.7737458681128695,102.74626925973152,-57.80372609597566,50.28371096813121,7.275957614183426e-12
sensitivity,sensitivity_post_break,ozone,copd,dalys,Japan,Both,2010,2019,2010.0,raw,endpoint_direct,34203.0430853682,36598.68485865994,2395.64177329174,34203.0430853682,36598.68485865994,0.0,0.0,127965040.22379117,126394432.30613583,-441.5438215077265,10710.57643652468,-5488.654591856728,-2384.7362498684856,-18.431128828623727,447.08589389004425,-229.10998852366075,-99.54477653775967,-1.3642420526593924e-12
main,main_overall_1990_2021,ozone,copd,dalys,Japan,Female,1990,2021,,raw,endpoint_direct,5228.186277952887,9100.713780959886,3872.527503007,5228.186277952887,9100.713780959888,0.0,1.8189894035458565e-12,62972407.452757545,64444138.6056468,184.7110368546893,8096.083881742739,-6389.4892616633815,1981.221846072952,4.769779858535854,209.06459348464716,-164.99532299517492,51.16094965199194,9.094947017729282e-13
main,main_pre_break,ozone,copd,dalys,Japan,Female,1990,2010,2010.0,raw,endpoint_direct,5228.186277952887,9827.191501592892,4599.005223640007,5228.186277952887,9827.191501592892,0.0,0.0,62972407.452757545,65648739.18638145,327.04674742019034,5891.738241712246,-4632.721069819039,3012.94130432661,7.111249748947672,128.10897042315318,-100.733111717415,65.51289154531415,0.0
main,main_post_break,ozone,copd,dalys,Japan,Female,2010,2021,2010.0,raw,endpoint_direct,9827.191501592892,9100.713780959886,-726.4777206330073,9827.191501592892,9100.713780959888,0.0,1.8189894035458565e-12,65648739.18638145,64444138.6056468,-178.02879934035477,3103.099167556068,-2130.2360906806384,-1521.3119981680818,24.505747978786136,-427.1430601962881,293.22800000315,209.409312214352,1.1368683772161605e-13
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,Japan,Female,1990,2019,,raw,endpoint_direct,5228.186277952887,9576.601295230088,4348.4150172772015,5228.186277952887,9576.601295230088,0.0,0.0,62972407.452757545,64924387.4787214,248.2503120911117,7963.423079476998,-6086.895175347124,2223.636801056216,5.708983873543787,183.1339246101529,-139.97962823609433,51.13671975239764,-9.094947017729282e-13
sensitivity,sensitivity_pre_break,ozone,copd,dalys,Japan,Female,1990,2010,2010.0,raw,endpoint_direct,5228.186277952887,9827.191501592892,4599.005223640007,5228.186277952887,9827.191501592892,0.0,0.0,62972407.452757545,65648739.18638145,327.04674742019034,5891.738241712246,-4632.721069819039,3012.94130432661,7.111249748947672,128.10897042315318,-100.733111717415,65.51289154531415,0.0
sensitivity,sensitivity_post_break,ozone,copd,dalys,Japan,Female,2010,2019,2010.0,raw,endpoint_direct,9827.191501592892,9576.601295230088,-250.59020636280547,9827.191501592892,9576.601295230088,0.0,0.0,65648739.18638145,64924387.4787214,-108.9363790962628,2815.087989181082,-1647.8176698517498,-1308.9241465958748,43.4719220185901,-1123.3830842955558,657.5746489733253,522.3365133036401,5.684341886080803e-14
main,main_overall_1990_2021,ozone,copd,dalys,Japan,Male,1990,2021,,raw,endpoint_direct,10794.459236369756,25774.97611384589,14980.516877476131,10794.459236369756,25774.976113845885,0.0,-3.637978807091713e-12,60714973.26578699,61065118.24725897,111.28807302583988,19624.96407423959,-10645.768792021709,5890.033522232406,0.7428854019928139,131.00325065383151,-71.06409531187867,39.31795925605432,5.4569682106375694e-12
main,main_pre_break,ozone,copd,dalys,Japan,Male,1990,2010,2010.0,raw,endpoint_direct,10794.459236369756,24375.851583775304,13581.392347405546,10794.459236369756,24375.851583775304,0.0,0.0,60714973.26578699,62316301.03740971,460.35797129509336,12866.717366698753,-5877.63466960732,6131.9516790190255,3.3896227980118367,94.73783716407162,-43.27711415192364,45.149654189840206,-3.637978807091713e-12
main,main_post_break,ozone,copd,dalys,Japan,Male,2010,2021,2010.0,raw,endpoint_direct,24375.851583775304,25774.97611384589,1399.124530070585,24375.851583775304,25774.976113845885,0.0,-3.637978807091713e-12,62316301.03740971,61065118.24725897,-516.1945594676321,9035.602659683113,-5563.539529711416,-1556.7440404334811,-36.8941111654722,645.8040342718651,-397.6443418821867,-111.26558122420629,1.3642420526593924e-12
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,Japan,Male,1990,2019,,raw,endpoint_direct,10794.459236369756,27022.083563429853,16227.624327060095,10794.459236369756,27022.083563429853,0.0,0.0,60714973.26578699,61470044.82741445,242.77524876840144,19082.58118475892,-9416.496099500171,6318.76399303295,1.496061554515813,117.59319047667434,-58.02757020815336,38.93831817696324,-3.637978807091713e-12
sensitivity,sensitivity_pre_break,ozone,copd,dalys,Japan,Male,1990,2010,2010.0,raw,endpoint_direct,10794.459236369756,24375.851583775304,13581.392347405546,10794.459236369756,24375.851583775304,0.0,0.0,60714973.26578699,62316301.03740971,460.35797129509336,12866.717366698753,-5877.63466960732,6131.9516790190255,3.3896227980118367,94.73783716407162,-43.27711415192364,45.149654189840206,-3.637978807091713e-12
sensitivity,sensitivity_post_break,ozone,copd,dalys,Japan,Male,2010,2019,2010.0,raw,endpoint_direct,24375.851583775304,27022.083563429853,2646.231979654549,24375.851583775304,27022.083563429853,0.0,0.0,62316301.03740971,61470044.82741445,-354.63231288759897,7917.67143070851,-3840.973627269268,-1075.833510897094,-13.401406815962304,299.20549262435105,-145.1487872869969,-40.655298521391856,-4.547473508864641e-13
main,main_overall_1990_2021,ozone,copd,dalys,Republic of Korea,Both,1990,2021,,raw,endpoint_direct,8924.913999531896,20916.06025556829,11991.146256036393,8924.913999531898,20916.060255568293,1.8189894035458565e-12,3.637978807091713e-12,44563740.97152462,52083507.14753976,2624.524209498065,21418.133065784816,-14029.195561478082,1977.684542231596,21.88718370586856,178.61622741030982,-116.99628427445565,16.49287315827727,-1.8189894035458565e-12
main,main_pre_break,ozone,copd,dalys,Republic of Korea,Both,1990,2001,2001.0,raw,endpoint_direct,8924.913999531896,8158.5979603441,-766.3160391877964,8924.913999531898,8158.5979603441,1.8189894035458565e-12,0.0,44563740.97152462,47440017.74415988,553.390152151877,3867.019010614624,-757.843244609986,-4428.8819573443125,-72.21435071858923,-504.6245690894325,98.89434722170364,577.9445725863181,7.958078640513122e-13
main,main_post_break,ozone,copd,dalys,Republic of Korea,Both,2001,2021,2001.0,raw,endpoint_direct,8158.5979603441,20916.06025556829,12757.462295224188,8158.5979603441,20916.060255568293,0.0,3.637978807091713e-12,47440017.74415988,52083507.14753976,1454.325177943606,14366.257041107876,-12130.325576966125,9067.205653138832,11.399799931119835,112.61061728934874,-95.0841577756978,71.07374055522924,-1.8189894035458565e-12
sensitivity,sensitivity_overall_1990_2019,ozone,copd,dalys,Republic of Korea,Both,1990,2019,,raw,endpoint_direct,8924.913999531896,20058.91024928169,11133.996249749787,8924.913999531898,20058.91024928169,1.8189894035458565e-12,0.0,44563740.97152462,52390584.32615163,2583.0496218829758,19146.04557349219,-11502.541897420158,907.442951794785,23.199663121325585,171.96023012781643,-103.3100931543663,8.150199905224305,-1.8189894035458565e-12
sensitivity,sensitivity_pre_break,ozone,copd,dalys,Republic of Korea,Both,1990,2001,2001.0,raw,endpoint_direct,8924.913999531896,8158.5979603441,-766.3160391877964,8924.913999531898,8158.5979603441,1.8189894035458565e-12,0.0,44563740.97152462,47440017.74415988,553.390152151877,3867.019010614624,-757.843244609986,-4428.8819573443125,-72.21435071858923,-504.6245690894325,98.89434722170364,577.9445725863181,7.958078640513122e-13
sensitivity,sensitivity_post_break,ozone,copd,dalys,Republic of Korea,Both,2001,2019,2001.0,raw,endpoint_direct,8158.5979603441,20058.91024928169,11900.312288937585,8158.5979603441,20058.91024928169,0.0,0.0,47440017.74415988,52390584.32615163,1465.160129984347,12404.470743496242,-9769.457055842591,7800.13847129959,12.311946900303996,104.23651449069382,-82.09412340316638,65.54566201216856,0.0
main,main_overall_1990_2021,ozone,copd,dalys,Republic of Korea,Female,1990,2021,,raw,endpoint_direct,3324.164557662827,7077.223340803651,3753.058783140824,3324.164557662827,7077.223340803651,0.0,0.0,22183517.65251867,25936954.07296656,919.0270679259374,6998.257957595728,-5380.26336697116,1216.03712459032,24.48741469369768,186.46811472905023,-143.35675719069278,32.40122776794491,-9.094947017729282e-13
main,main_pre_break,ozone,copd,dalys,Republic of Korea,Female,1990,2001,2001.0,raw,endpoint_direct,3324.164557662827,3093.894631855337,-230.26992580748995,3324.164557662827,3093.8946318553367,0.0,-4.547473508864641e-13,22183517.65251867,23632991.96057887,209.1840033562713,1361.8746052667468,-278.80713628456584,-1522.5213981459422,-90.84295425150444,-591.425302497079,121.07839758356198,661.1898591650215,-2.8421709430404014e-14
